iter	Passed	Remaining
150	311	1748
151	313	1749
152	315	1749
153	318	1749
154	320	1746
155	322	1745
156	324	1744
157	327	1743
158	329	1743
159	331	1742
160	334	1741
161	336	1738
162	337	1735
163	340	1733
164	342	1731
165	344	1731
166	346	1729
167	349	1729
168	351	1726
169	353	1724
170	355	1724
171	357	1721
172	359	1720
173	362	1719
174	364	1717
175	366	1716
176	369	1718
177	371	1716
178	373	1713
179	375	1712
180	378	1711
181	380	1709
182	382	1708
183	385	1707
184	387	1705
185	389	1703
186	391	1701
187	393	1700
188	395	1697
189	398	1698
190	400	1696
191	402	1693
192	404	1691
193	406	1689
194	409	1689
195	411	1686
196	414	1689
197	417	1691
198	419	1690
199	421	1685
200	423	1683
201	426	1683
202	428	1682
203	430	1679
204	432	1677
205	434	1675
206	436	1672
207	438	1671
208	441	1670
209	443	1668
210	445	1666
211	447	1664
212	449	1661
213	451	1659
214	453	1657
215	456	1656
216	459	1656
217	461	1654
218	463	1652
219	465	1651
220	467	1648
221	469	1646
222	472	1645
223	474	1643
224	476	1641
225	478	1638
226	480	1635
227	482	1633
228	484	1631
229	487	1630
230	489	1628
231	491	1627
232	495	1630
233	497	1628
234	499	1626
235	502	1625
236	504	1625
237	507	1625
238	509	1623
239	511	1620
240	513	1618
241	516	1617
242	518	1616
243	521	1614
244	523	1614
245	525	1612
246	527	1609
247	529	1607
248	532	1605
249	534	1602
250	536	1601
251	538	1598
252	540	1596
253	542	1593
254	544	1591
255	546	1588
256	548	1586
257	550	1584
258	553	1582
259	555	1580
260	557	1577
261	559	1574
262	561	1572
263	563	1570
264	565	1568
265	568	1567
266	570	1565
267	572	1562
268	574	1560
269	576	1558
270	578	1556
271	581	1555
272	584	1556
273	586	1554
274	589	1553
275	591	1551
276	593	1549
277	596	1548
278	598	1547
279	601	1547
280	603	1544
281	606	1544
282	609	1544
283	612	1543
284	615	1543
285	618	1543
286	621	1543
287	622	1539
288	625	1539
289	628	1537
290	630	1537
291	633	1535
292	635	1533
293	637	1531
294	639	1529
295	641	1526
296	644	1524
297	646	1522
298	648	1521
299	650	1518
300	653	1516
301	655	1514
302	657	1511
303	659	1509
304	661	1506
305	663	1505
306	665	1502
307	667	1500
308	669	1498
309	671	1495
310	674	1493
311	676	1491
312	678	1489
313	680	1486
314	683	1485
315	685	1484
316	687	1481
317	689	1479
318	692	1477
319	694	1476
320	697	1474
321	699	1472
322	701	1470
323	703	1468
324	705	1466
325	708	1464
326	710	1462
327	713	1461
328	715	1459
329	717	1457
330	719	1454
331	721	1452
332	724	1450
333	726	1448
334	729	1448
335	731	1445
336	733	1443
337	735	1440
338	737	1438
339	739	1436
340	741	1433
341	744	1431
342	746	1430
343	748	1427
344	750	1425
345	752	1423
346	755	1421
347	757	1418
348	760	1417
349	762	1415
350	764	1413
351	766	1411
352	768	1409
353	770	1406
354	773	1404
355	775	1403
356	777	1401
357	780	1398
358	782	1396
359	784	1394
360	786	1392
361	788	1390
362	791	1388
363	792	1384
364	794	1382
365	796	1380
366	799	1378
367	801	1375
368	803	1373
369	805	1371
370	808	1370
371	810	1368
372	813	1366
373	815	1364
374	818	1363
375	820	1361
376	823	1360
377	825	1358
378	827	1356
379	829	1353
380	831	1351
381	832	1347
382	834	1344
383	837	1342
384	839	1341
385	841	1339
386	843	1336
387	845	1334
388	848	1332
389	850	1329
390	852	1327
391	854	1325
392	856	1323
393	858	1320
394	860	1318
395	863	1316
396	865	1314
397	867	1312
398	869	1310
399	871	1307
400	873	1305
401	875	1302
402	876	1299
403	879	1297
404	881	1294
405	883	1292
406	885	1290
407	887	1288
408	890	1286
409	892	1284
410	894	1281
411	896	1279
412	899	1277
413	901	1275
414	903	1273
415	905	1270
416	907	1268
417	909	1266
418	912	1264
419	914	1262
420	917	1261
421	919	1259
422	922	1257
423	924	1255
424	926	1253
425	928	1251
426	931	1249
427	933	1247
428	935	1245
429	937	1242
430	939	1240
431	941	1238
432	944	1236
433	946	1234
434	948	1232
435	950	1229
436	952	1227
437	955	1225
438	957	1223
439	959	1221
440	962	1219
441	963	1216
442	965	1214
443	967	1212
444	970	1209
445	972	1207
446	974	1205
447	977	1203
448	979	1201
449	981	1199
450	983	1196
451	985	1194
452	987	1192
453	989	1189
454	991	1187
455	994	1185
456	996	1183
457	998	1181
458	1000	1178
459	1002	1176
460	1004	1174
461	1007	1172
462	1009	1171
463	1012	1169
464	1014	1167
465	1016	1164
466	1018	1162
467	1020	1160
468	1023	1158
469	1025	1156
470	1027	1154
471	1029	1151
472	1031	1149
473	1033	1147
474	1036	1145
475	1038	1142
476	1040	1140
477	1042	1138
478	1044	1136
479	1046	1134
480	1048	1131
481	1051	1129
482	1053	1127
483	1055	1124
484	1057	1123
485	1059	1120
486	1061	1118
487	1063	1116
488	1066	1114
489	1068	1111
490	1070	1109
491	1073	1108
492	1075	1105
493	1077	1103
494	1079	1101
495	1081	1099
496	1083	1096
497	1085	1094
498	1088	1093
499	1091	1091
500	1093	1088
501	1095	1086
502	1097	1084
503	1099	1082
504	1101	1080
505	1104	1077
506	1106	1075
507	1108	1073
508	1110	1071
509	1113	1069
510	1115	1067
511	1117	1065
512	1120	1063
513	1122	1061
514	1125	1059
515	1127	1057
516	1129	1055
517	1131	1053
518	1133	1050
519	1136	1049
520	1139	1047
521	1141	1045
522	1143	1043
523	1145	1040
524	1148	1038
525	1150	1036
526	1152	1034
527	1155	1032
528	1157	1030
529	1159	1028
530	1161	1026
531	1164	1023
532	1166	1021
533	1168	1019
534	1170	1017
535	1172	1015
536	1175	1013
537	1177	1010
538	1179	1008
539	1181	1006
540	1183	1003
541	1185	1002
542	1187	999
543	1189	997
544	1192	995
545	1194	993
546	1196	990
547	1198	988
548	1201	986
549	1203	984
550	1205	982
551	1207	979
552	1209	977
553	1211	975
554	1213	972
555	1215	970
556	1218	968
557	1220	966
558	1222	964
559	1226	963
560	1228	961
561	1230	959
562	1233	957
563	1235	955
564	1237	953
565	1241	951
566	1243	949
567	1245	947
568	1247	945
569	1250	943
570	1252	941
571	1256	940
572	1258	938
573	1260	935
574	1263	933
575	1265	931
576	1268	929
577	1270	927
578	1274	926
579	1276	924
580	1278	922
581	1282	920
582	1284	918
583	1286	916
584	1290	915
585	1292	913
586	1295	911
587	1298	909
588	1300	907
589	1302	905
590	1304	902
591	1306	900
592	1309	898
593	1311	896
594	1314	894
595	1316	892
596	1318	890
597	1320	888
598	1323	885
599	1325	883
600	1327	881
601	1329	879
602	1331	876
603	1334	874
604	1336	872
605	1338	870
606	1339	867
607	1341	865
608	1344	863
609	1346	861
610	1348	858
611	1350	856
612	1353	854
613	1355	851
614	1357	849
615	1360	847
616	1362	845
617	1364	843
618	1369	842
619	1371	840
620	1375	839
621	1377	837
622	1379	835
623	1382	832
624	1384	830
625	1386	828
626	1388	826
627	1391	824
628	1393	821
629	1396	819
630	1399	818
631	1402	816
632	1404	814
633	1407	812
634	1409	810
635	1411	808
636	1414	805
637	1416	803
638	1418	801
639	1420	798
640	1423	797
641	1424	794
642	1427	792
643	1432	791
644	1434	789
645	1436	787
646	1439	785
647	1441	782
648	1444	780
649	1447	779
650	1449	777
651	1452	775
652	1454	773
653	1456	770
654	1459	768
655	1462	766
656	1465	765
657	1473	765
658	1475	763
659	1479	762
660	1483	760
661	1485	758
662	1488	756
663	1490	754
664	1493	752
665	1497	750
666	1499	748
667	1502	746
668	1504	744
669	1508	742
670	1511	740
671	1512	738
672	1514	736
673	1518	734
674	1520	732
675	1523	730
676	1526	728
677	1529	726
678	1531	724
679	1546	727
680	1550	726
681	1552	723
682	1555	722
683	1559	720
684	1561	718
685	1564	716
686	1566	713
687	1568	711
688	1572	709
689	1574	707
690	1576	705
691	1578	702
692	1581	700
693	1583	698
694	1586	696
695	1590	694
696	1592	692
697	1595	690
698	1597	688
699	1601	686
700	1603	684
701	1605	681
702	1608	679
703	1611	677
704	1614	675
705	1618	673
706	1635	677
707	1637	675
708	1640	673
709	1645	671
710	1649	670
711	1664	673
712	1667	671
713	1669	668
714	1671	666
715	1674	664
716	1676	661
717	1679	659
718	1681	657
719	1683	654
720	1685	652
721	1687	649
722	1689	647
723	1692	645
724	1694	642
725	1697	640
726	1699	638
727	1701	635
728	1703	633
729	1705	630
730	1707	628
731	1710	626
732	1712	623
733	1714	621
734	1716	618
735	1718	616
736	1720	614
737	1723	611
738	1726	609
739	1728	607
740	1730	604
741	1732	602
742	1734	599
743	1736	597
744	1738	595
745	1741	592
746	1743	590
747	1745	587
748	1747	585
749	1749	583
750	1751	580
751	1753	578
752	1756	576
753	1758	573
754	1759	571
755	1762	568
756	1764	566
757	1766	563
758	1768	561
759	1770	559
760	1773	556
761	1775	554
762	1778	552
763	1780	549
764	1781	547
765	1784	545
766	1786	542
767	1788	540
768	1790	537
769	1792	535
770	1794	533
771	1797	530
772	1799	528
773	1801	525
774	1803	523
775	1805	521
776	1808	519
777	1810	516
778	1812	514
779	1814	511
780	1816	509
781	1818	507
782	1821	504
783	1823	502
784	1825	500
785	1827	497
786	1830	495
787	1832	492
788	1834	490
789	1836	488
790	1838	485
791	1840	483
792	1843	481
793	1845	478
794	1847	476
795	1849	473
796	1851	471
797	1853	469
798	1855	466
799	1857	464
800	1859	462
801	1862	459
802	1864	457
803	1866	454
804	1868	452
805	1871	450
806	1873	447
807	1875	445
808	1877	443
809	1879	440
810	1881	438
811	1884	436
812	1886	433
813	1888	431
814	1891	429
815	1893	426
816	1895	424
817	1897	422
818	1900	419
819	1902	417
820	1904	415
821	1906	412
822	1908	410
823	1910	408
824	1913	405
825	1915	403
826	1917	401
827	1920	398
828	1922	396
829	1924	394
830	1926	391
831	1928	389
832	1931	387
833	1933	384
834	1935	382
835	1937	380
836	1939	377
837	1941	375
838	1943	373
839	1945	370
840	1948	368
841	1950	365
842	1952	363
843	1954	361
844	1956	358
845	1958	356
846	1960	354
847	1962	351
848	1965	349
849	1967	347
850	1970	344
851	1972	342
852	1974	340
853	1976	337
854	1979	335
855	1981	333
856	1983	331
857	1985	328
858	1987	326
859	1989	323
860	1991	321
861	1993	319
862	1996	316
863	1999	314
864	2001	312
865	2003	309
866	2005	307
867	2007	305
868	2009	302
869	2011	300
870	2014	298
871	2016	296
872	2018	293
873	2020	291
874	2022	288
875	2024	286
876	2027	284
877	2029	282
878	2031	279
879	2033	277
880	2035	274
881	2038	272
882	2040	270
883	2042	267
884	2044	265
885	2046	263
886	2048	260
887	2050	258
888	2052	256
889	2054	253
890	2056	251
891	2059	249
892	2061	247
893	2063	244
894	2065	242
895	2067	239
896	2069	237
897	2071	235
898	2074	233
899	2076	230
900	2078	228
901	2080	226
902	2082	223
903	2084	221
904	2086	219
905	2088	216
906	2090	214
907	2094	212
908	2096	209
909	2098	207
910	2100	205
911	2102	202
912	2105	200
913	2107	198
914	2109	195
915	2111	193
916	2114	191
917	2116	189
918	2118	186
919	2120	184
920	2122	182
921	2125	179
922	2127	177
923	2129	175
924	2131	172
925	2133	170
926	2135	168
927	2137	165
928	2140	163
929	2142	161
930	2144	158
931	2146	156
932	2148	154
933	2151	151
934	2153	149
935	2155	147
936	2157	145
937	2160	142
938	2162	140
939	2164	138
940	2166	135
941	2168	133
942	2170	131
943	2172	128
944	2173	126
945	2175	124
946	2177	121
947	2179	119
948	2181	117
949	2183	114
950	2185	112
951	2187	110
952	2189	107
953	2191	105
954	2193	103
955	2195	101
956	2198	98
957	2200	96
958	2202	94
959	2204	91
960	2206	89
961	2208	87
962	2210	84
963	2212	82
964	2215	80
965	2217	78
966	2219	75
967	2221	73
968	2223	71
969	2225	68
970	2227	66
971	2230	64
972	2233	61
973	2235	59
974	2237	57
975	2239	55
976	2241	52
977	2243	50
978	2246	48
979	2248	45
980	2250	43
981	2252	41
982	2254	38
983	2256	36
984	2259	34
985	2261	32
986	2263	29
987	2265	27
988	2267	25
989	2269	22
990	2271	20
991	2273	18
992	2276	16
993	2278	13
994	2280	11
995	2282	9
996	2284	6
997	2286	4
998	2288	2
999	2290	0
