iter	Logloss
0	0.6859286401
1	0.6780178243
2	0.6700323044
3	0.6634365275
4	0.6575008124
5	0.6510882056
6	0.6442618844
7	0.6376824717
8	0.6291134178
9	0.622466745
10	0.6164760393
11	0.609802836
12	0.6031484697
13	0.5992801983
14	0.5932219767
15	0.587998319
16	0.5830172578
17	0.5771546858
18	0.5732875109
19	0.5695046548
20	0.5645916815
21	0.5587928559
22	0.5543204512
23	0.5492925613
24	0.545069743
25	0.5398852116
26	0.5349109149
27	0.5302517248
28	0.5258655152
29	0.5208231831
30	0.5162271838
31	0.5126106005
32	0.5081410583
33	0.5042948883
34	0.4999241186
35	0.4956058642
36	0.4914581982
37	0.4879059996
38	0.4836566586
39	0.4790840368
40	0.4748632866
41	0.470789312
42	0.4667348326
43	0.4637720141
44	0.4601196253
45	0.4573250242
46	0.454406575
47	0.4513168879
48	0.4486390866
49	0.4462506695
50	0.4435856177
51	0.4410914276
52	0.4376602565
53	0.4346535141
54	0.4314728525
55	0.4286480602
56	0.4258115961
57	0.4233811751
58	0.4210805501
59	0.4190338178
60	0.416276851
61	0.4132384748
62	0.4102555256
63	0.4077272982
64	0.4051949698
65	0.4027609695
66	0.400191194
67	0.3990668907
68	0.3970338139
69	0.3951865418
70	0.3929371607
71	0.3904522108
72	0.388281479
73	0.3864126821
74	0.3842760543
75	0.3826334561
76	0.3805901485
77	0.3788497444
78	0.3770134318
79	0.3762623578
80	0.3751942437
81	0.3733053226
82	0.3710565521
83	0.3691812977
84	0.3678042676
85	0.3668773086
86	0.3652451539
87	0.3640471564
88	0.3626346918
89	0.3613180877
90	0.3592468123
91	0.3580556568
92	0.3564488164
93	0.3546663645
94	0.3531231528
95	0.3518464575
96	0.350487026
97	0.3486730726
98	0.3471634342
99	0.3455067498
100	0.3442479193
101	0.3431978335
102	0.3412027755
103	0.3397155342
104	0.3385687506
105	0.3372020458
106	0.3360564959
107	0.334684864
108	0.3333447101
109	0.3323214668
110	0.3310624296
111	0.3293715585
112	0.3280905321
113	0.3272156672
114	0.3258806911
115	0.3251550747
116	0.3237905057
117	0.3226598579
118	0.3214745869
119	0.3204550126
120	0.3195422085
121	0.3186749351
122	0.3176671671
123	0.3167910383
124	0.3158380111
125	0.3148778346
126	0.3135133328
127	0.3126492414
128	0.3117770518
129	0.3110330476
130	0.3103054562
131	0.3095201552
132	0.3082349988
133	0.307620295
134	0.3068450468
135	0.3061879528
136	0.3051171005
137	0.3041836148
138	0.3031985021
139	0.3023302035
140	0.3013869988
141	0.3006017273
142	0.2998504141
143	0.2990697046
144	0.2983777292
145	0.2972769124
146	0.296615187
147	0.2957996724
148	0.2949550991
149	0.294528053
150	0.2934768687
151	0.2928763064
152	0.2921162701
153	0.2913344106
154	0.2905673612
155	0.2895639333
156	0.2889357972
157	0.2880385948
158	0.2873008753
